episode,id,rewards
0,J1,0.018297330286439713
0,J1,0.018912726643940513
0,J1,0.018912726643940513
0,J3,0.028179738105249656
0,J6,0.018559331864052894
0,J1,0.012821683323433374
0,J3,0.043267327644140034
0,J6,0.008155965254863036
0,J1,0.011045006372292446
0,J1,0.011893002900406078
0,J3,0.04407871806027519
0,J6,0.007988717192335671
0,J1,0.012623270842006354
0,J1,0.017029961452571667
0,J3,0.016633285383586507
0,J6,0.019611069444231858
0,J1,0.01869509411519333
0,J1,0.007281418477149933
0,J3,0.016543856108157114
0,J6,0.010088752468651105
0,J1,0.007281418477149933
0,J1,0.010971015434333077
0,J1,0.010971015434333077
0,J3,0.040988366135411895
0,J6,0.00987737804999663
0,J1,0.013327630963866207
0,J6,0.016620593184478703
0,J1,0.015588275538358417
0,J3,0.029646817900837143
0,J1,0.012679815635480658
0,J6,0.00699890467141892
0,J1,0.02141803893140461
0,J3,0.08730592198099167
0,J1,0.02141803893140461
0,J1,0.0077618594975914675
0,J1,0.0077618594975914675
0,J6,0.008651590027998337
0,J3,0.0354812161576266
0,J1,0.007851459157165945
0,J6,0.016317718531907416
0,J1,0.008224963724482906
0,J3,0.016453816689730377
0,J1,0.011701109326748962
0,J6,0.005700653009802271
0,J3,0.03361040529259996
0,J1,0.010003505672988067
0,J6,0.016000937197750153
0,J1,0.010003505672988067
0,J1,0.008885253970520379
0,J3,0.016658920835108296
0,J6,0.012710305381810885
0,J1,0.009869105297280228
0,J1,0.013980673737987885
0,J1,0.013980673737987885
0,J3,0.02551705743071156
0,J6,0.010436957963947537
0,J1,0.013545799569687699
0,J1,0.010330556806506219
0,J1,0.010330556806506219
0,J6,0.01104292107348236
0,J1,0.010330556806506219
0,J3,0.03380447983562779
0,J1,0.013252506785283473
0,J1,0.013252506785283473
0,J6,0.01725998173510377
0,J1,0.01346496175004108
0,J1,0.010205055195579887
0,J3,0.027967568807211154
0,J1,0.010205055195579887
0,J1,0.018309010795178958
0,J6,0.009091337256161182
1,J3,0.04392500312543292
1,J1,0.01704014402329728
1,J6,0.01774631580364497
1,J1,0.01704014402329728
1,J3,0.025521649760275142
1,J1,0.015496098397598369
1,J1,0.01224472095216311
1,J3,0.03582625324345055
1,J6,0.019363773433424183
1,J1,0.01224472095216311
1,J1,0.0089447752768967
1,J3,0.01420396086553839
1,J6,0.009137298452282217
1,J1,0.0089447752768967
1,J1,0.0089447752768967
1,J1,0.010469624060927068
1,J3,0.02338088475914821
1,J1,0.04306102362204725
1,J6,0.014033475100668255
1,J1,0.04306102362204725
1,J1,0.007460616235848319
1,J3,0.015017221535124746
1,J6,0.013768561079455188
1,J1,0.012296584949028246
1,J3,0.012480025718836996
1,J6,0.015709602756511624
1,J1,0.013859550575538218
1,J1,0.0112355544800153
1,J3,0.017983406220623697
1,J6,0.006709670185416518
1,J1,0.007769533304772205
1,J1,0.007769533304772205
1,J3,0.007729862741326002
1,J1,0.01808728143580961
1,J1,0.01808728143580961
1,J6,0.009250950535167488
1,J1,0.0206259281667675
1,J3,0.04566519345678664
1,J1,0.0206259281667675
1,J6,0.010635169548531739
1,J1,0.007522400634460765
1,J3,0.032423958768002345
1,J1,0.011963871461734046
1,J6,0.013612495181577065
1,J1,0.011963871461734046
1,J3,0.021368196863734135
1,J1,0.017140651385890226
1,J1,0.017140651385890226
1,J1,0.017140651385890226
1,J6,0.022459513218125383
1,J1,0.010541471641153986
1,J1,0.011027807655855688
1,J3,0.03625101955992511
1,J6,0.014144807235935843
1,J1,0.011027807655855688
1,J1,0.011037665313032987
1,J3,0.03692464934506748
1,J6,0.011045376616214731
1,J1,0.01748893314884452
1,J6,0.013480279774662887
1,J1,0.019203378295779793
1,J3,0.019416397039430926
1,J1,0.019203378295779793
1,J6,0.026104344284975902
1,J1,0.02741339577692215
1,J3,0.014662305745801739
1,J1,0.0208183099349023
1,J6,0.025790968712008682
1,J1,0.015630184159092543
1,J1,0.015630184159092543
1,J3,0.03076938025609842
1,J1,0.013562749292579326
1,J6,0.010616190220896377
1,J1,0.013562749292579326
1,J3,0.022177630400031234
1,J1,0.00789068106978985
1,J1,0.00789068106978985
1,J6,0.01235702153767069
2,J1,0.01704014402329728
2,J1,0.01704014402329728
2,J3,0.08026302490531936
2,J1,0.015250504791708608
2,J6,0.013203622796124245
2,J3,0.01992193093315569
2,J1,0.015250504791708608
2,J1,0.010948927439847718
2,J6,0.009177212669263298
2,J3,0.018355127133291873
2,J1,0.012234980966108084
2,J1,0.010855764799971999
2,J6,0.009759713151186365
2,J1,0.017226147322933663
2,J3,0.013454228198199412
2,J1,0.017226147322933663
2,J6,0.01110718720452034
2,J1,0.01662215184045478
2,J3,0.011028222844055417
2,J6,0.02439402734132624
2,J1,0.01602769135165458
2,J1,0.011640552208122584
2,J3,0.009969457307661501
2,J6,0.010714398355596396
2,J1,0.01744835668105211
2,J1,0.01744835668105211
2,J3,0.027344777519026173
2,J1,0.01885487760854054
2,J6,0.02308704948449916
2,J1,0.010461267809763588
2,J3,0.04381175772772003
2,J6,0.020510789382483786
2,J1,0.009445582491989846
2,J1,0.009231021960789629
2,J3,0.02958048380684954
2,J6,0.005302995485383177
2,J1,0.009231021960789629
2,J1,0.01058886776708726
2,J1,0.01058886776708726
2,J6,0.009343604321529121
2,J1,0.017106133938890468
2,J3,0.020116567773103684
2,J1,0.017106133938890468
2,J6,0.004901580586742262
2,J1,0.015006745137024746
2,J1,0.01581803920206366
2,J3,0.022962907142854844
2,J6,0.008712185875662982
2,J1,0.013940029990978814
2,J1,0.013940029990978814
2,J3,0.027220123407443706
2,J1,0.013234079286529893
2,J6,0.015594973584064123
2,J1,0.013234079286529893
2,J1,0.014705305674287286
2,J1,0.00952838175095009
2,J6,0.009963113488292959
2,J3,0.030850117043474366
2,J1,0.00952838175095009
2,J1,0.014033065139869186
2,J3,0.04512485334422665
2,J6,0.009440981148720893
2,J1,0.008823353652447295
2,J1,0.008823353652447295
2,J1,0.007397185536962453
2,J3,0.06725144858091803
